"Ventas diarias","fecha"
17287,"2021-06-15 00:00:00"
30883,"2021-06-16 00:00:00"
23868,"2021-06-17 00:00:00"
22915,"2021-06-18 00:00:00"
79677,"2021-06-19 00:00:00"
96231,"2021-06-20 00:00:00"
121901,"2021-06-21 00:00:00"
103806,"2021-06-22 00:00:00"
18889,"2021-06-23 00:00:00"
101491,"2021-06-24 00:00:00"
114735,"2021-06-26 00:00:00"
3011,"2021-06-27 00:00:00"
155973,"2021-06-28 00:00:00"
119527,"2021-06-29 00:00:00"
158349,"2021-06-30 00:00:00"
96845,"2021-07-01 00:00:00"
130339,"2021-07-02 00:00:00"
145784,"2021-07-03 00:00:00"
162253,"2021-07-04 00:00:00"
114070,"2021-07-05 00:00:00"
93551,"2021-07-06 00:00:00"
101468,"2021-07-07 00:00:00"
126655,"2021-07-08 00:00:00"
132088,"2021-07-09 00:00:00"
115940,"2021-07-10 00:00:00"
141597,"2021-07-11 00:00:00"
124172,"2021-07-12 00:00:00"
124227,"2021-07-13 00:00:00"
88339,"2021-07-14 00:00:00"
90390,"2021-07-15 00:00:00"
161040,"2021-07-16 00:00:00"
